USERID - DeviceSerialNo - AccessType - Date
30121 --- X01X2500S --- FACE --- 2023-01-28T06:05:15+00:00
30126 --- X01X2500S --- FP --- 2023-01-28T06:15:23+00:00
30127 --- X01X2500S --- FP --- 2023-01-28T06:16:13+00:00
30129 --- X01X2500S --- CARD --- 2023-01-28T06:18:22+00:00
30111 --- X01X2500S --- CARD --- 2023-01-28T06:18:45+00:00
30008 --- X01X2500X --- FP --- 2023-01-28T06:41:04+00:00
30001 --- X01X2500S --- FACE --- 2023-01-28T07:33:01+00:00
31558 --- X01X2500F --- FP --- 2023-01-28T07:34:02+00:00
31559 --- X01X2500F --- FP --- 2023-01-28T07:36:59+00:00
31251 --- X01X2500X --- FP --- 2023-01-28T08:54:50+00:00
31951 --- X01X2500F --- CARD --- 2023-01-28T08:54:55+00:00
28000 --- X01X2500F --- FP --- 2023-01-28T08:55:11+00:00
20088 --- X01X2500F --- FP --- 2023-01-28T08:56:20+00:00
50178 --- X01X2500F --- CARD --- 2023-01-28T08:21:50+00:00
70111 --- X01X2500X --- FACE --- 2023-01-28T08:21:50+00:00
00708 --- X01X2500F --- FACE --- 2023-01-28T08:21:59+00:00
